from,to,distance,distance normalised by mean labelledImageArea
4,7,19.120019636554982,0.908707544194622
4,17,21.691174011886915,0.9538582018470798
7,12,20.879891369554606,0.9978397814758753
7,25,30.305273061401554,1.2171730889989183
7,27,28.714532593482534,1.4320889258535396
12,13,20.04113682282849,0.9296632919044948
12,25,28.563509969401498,1.1196377769740695
12,26,36.575272922723975,1.4118164268175166
13,26,32.93884710447071,1.2753066289888422
13,28,32.29151631198216,1.491284652811387
17,20,29.709756032203373,1.3000105445842163
17,21,29.989776260278656,1.4253876200026467
20,21,19.041100127617717,0.9413033083418506
20,27,25.458474115270544,1.2096185098359509
20,30,32.56273310643524,1.3479440995544982
20,32,30.313735443889275,1.2324103832403286
21,30,24.698689333618432,1.1002043292931363
24,28,23.29457806395852,1.002180037395533
24,33,29.72466840737086,1.0954952262365407
25,26,24.74750462757762,0.8472373985295445
25,27,23.143329885975167,0.9332246779705463
25,34,31.538646892085392,1.1920371977934154
25,44,45.54617390267554,1.5712029572566864
25,64,44.90721219424229,1.4837062319651326
26,28,27.112313480274608,1.0433215421013864
26,33,36.19596175346559,1.2262772763506664
26,51,43.12834027733091,1.6252980805050097
26,64,39.64291051668731,1.2954894638994032
27,32,34.99319863784191,1.4798155638280504
27,34,19.997964044188805,0.9107557767756894
28,33,22.41474471394477,0.864006310531219
30,32,23.558494319323046,0.8905585347022471
30,41,29.31062086921492,1.1975158327465993
30,43,33.50323449371232,1.2318149967364451
32,34,26.063658824457207,1.0269018641925882
32,43,26.981207953925008,0.9779478860054132
34,44,31.89885658601488,1.1993089876940197
41,43,26.877976130062557,1.0458460637938527
41,55,27.020633199846163,1.1226690483028055
43,55,28.353494445522422,1.0567158223062856
43,57,39.01419216374087,1.4899706926285152
44,57,28.96714494078181,1.0879398847185335
44,64,18.544717523444596,0.6102382273831082
51,56,24.52419885066011,1.0076459438844456
51,64,17.99232815693685,0.6496553703019265
55,66,38.747259704139175,1.5716019006348194
66,70,19.426534629032954,0.90467807256632
