Label,Cell type id,Cell type name
384,8,central cell
112,8,central cell
368,8,central cell
8,8,central cell
292,8,central cell
356,8,central cell
148,8,central cell
340,8,central cell
180,8,central cell
396,8,central cell
380,8,central cell
130,8,central cell
338,8,central cell
218,8,central cell
250,8,central cell
102,8,central cell
358,8,central cell
126,8,central cell
337,8,central cell
357,8,central cell
53,8,central cell
93,8,central cell
189,8,central cell
381,8,central cell
3,8,central cell
35,8,central cell
291,8,central cell
227,8,central cell
19,8,central cell
147,8,central cell
115,8,central cell
367,8,central cell
159,8,central cell
351,8,central cell
223,8,central cell
319,8,central cell
255,8,central cell
