Label,Cell type id,Cell type name
704,8,central cell
464,8,central cell
496,8,central cell
536,8,central cell
664,8,central cell
600,8,central cell
568,8,central cell
532,8,central cell
684,8,central cell
700,8,central cell
642,8,central cell
522,8,central cell
538,8,central cell
534,8,central cell
686,8,central cell
510,8,central cell
513,8,central cell
497,8,central cell
457,8,central cell
665,8,central cell
525,8,central cell
461,8,central cell
701,8,central cell
509,8,central cell
643,8,central cell
531,8,central cell
691,8,central cell
523,8,central cell
539,8,central cell
667,8,central cell
603,8,central cell
571,8,central cell
663,8,central cell
631,8,central cell
