from,to,distance,distance normalised by mean labelledImageArea
8,9,17.5717192081145,1.0044865220794554
8,18,21.611104922473334,1.2582479423655273
9,18,20.2663361446152,1.2074009676321094
12,28,26.748103551187835,1.2174645503833106
12,29,32.63402178529032,1.4695061044650215
12,32,21.725440859334853,1.1868571214823789
18,29,20.11472844806447,1.0246036025200052
28,32,21.943275253336147,1.2051864934716199
28,36,32.04773902793556,1.441322708051129
28,38,22.298224851641518,1.0657698557250015
29,34,24.14210256712948,1.1072282197318797
29,41,27.130180700710806,1.2246133501432925
29,46,27.01364323945808,1.299733291543901
32,38,19.29374164637836,1.132741892958579
32,41,20.011178624026776,1.0970920683722536
34,43,18.09079106747496,1.0388956827956175
34,46,22.68194518070997,1.1238750145092666
36,53,20.21176932510005,0.9427949500842012
38,41,21.43792727182469,1.0232532877275629
38,56,27.3002680989279,1.2013381075155192
38,57,25.238934308580472,1.244875374912975
41,56,25.120149015648288,1.0624599127012968
41,59,27.690300056626363,1.2511107243452333
43,45,14.562316044585003,0.8023192301424545
45,63,30.24618572657324,1.4487264656832974
45,68,25.401208228996378,1.3558713828195292
46,59,29.997291054399057,1.4448820847158288
46,63,22.33572395372319,1.167133573241291
46,64,29.851919661117314,1.5005728035678993
53,57,19.870992213635034,0.9723415094725933
56,57,20.98683635396701,0.9106469840664112
56,59,23.11302563509656,0.9703674622558219
56,69,29.062512623923553,1.2793993758121727
56,74,21.89528917960841,1.0116938458737519
57,69,26.435163091512976,1.3045366429548682
59,64,16.264758651402662,0.7559568338547906
59,74,22.381673613993346,1.120167499410125
59,84,29.927107480996185,1.4597275302090738
63,64,20.738482518972383,1.039359846601995
63,68,17.085348897207457,1.0143774388835054
63,81,27.46144660816498,1.3970170974593266
64,81,23.642756573509242,1.1592791117211614
64,84,28.020718549542714,1.4279522544146184
64,85,33.20541250986143,1.4702580658123812
68,82,17.852710994148715,1.0523099583800852
69,78,20.967596543824907,1.0811772906723163
69,86,25.18761238823552,1.2496785712895855
69,89,29.709585140207768,1.4840159114643594
74,84,17.9933383591299,1.0037060138904836
74,86,21.11922031793975,1.1152279096748459
78,89,23.283008404432945,1.1922381482747455
81,82,26.285710812171605,1.3301207213705148
81,85,22.651578218775548,1.0146858596063018
81,92,24.162428208113795,1.1358007602297098
82,91,27.46839771852053,1.3926261065169194
84,85,20.281139205737308,0.9380156201283965
84,86,21.124460311604917,1.0840694723555115
85,92,19.5800921437844,0.8374126281997201
86,99,23.53862696887931,1.2524478282082414
91,92,21.693555110048695,1.0214291538478035
