from,to,distance,distance normalised by mean labelledImageArea
1641,1666,5.1736776107136775,1.0026506997507127
1641,1818,6.168320262640389,1.1357423775742561
1641,1943,7.348955768767424,1.4611130742975262
1641,1954,6.374974634741693,1.1962605758736082
1642,1687,8.153407847182674,1.428803903030412
1642,1750,7.775657255595825,1.3355515057790859
1642,1772,9.920375899884034,1.5189773600790113
1642,1779,4.098052825635609,0.7075817145098945
1642,1804,9.292119275827233,1.5387192898026687
1642,1833,6.820477902031499,1.2192621849034593
1642,1860,4.9253314181890335,0.759522843051394
1651,1667,6.5901508414071985,1.1723231667475007
1651,1687,6.160632467401378,1.0826896362325142
1651,1693,6.543124029276841,1.107050727299783
1651,1697,7.676428802641564,1.2818667464598275
1651,1753,4.90527388434122,0.8728604618720416
1651,1862,8.148951036943343,1.4149371710841778
1663,1677,5.879285266935089,0.9697441363342081
1663,1744,6.926452913115052,1.3067174275968851
1663,1773,4.208752362113981,0.8203377426085628
1663,1798,5.8524719051012974,1.1699668449057876
1663,1853,5.202845604090129,0.9308049114845396
1666,1758,7.310161779943877,1.1652283149159108
1666,1818,5.089545379196457,0.9371303546024654
1666,1954,5.039100341330781,0.9456027936438165
1666,1955,6.2444904539601955,1.0819286161819104
1667,1687,6.752961259099596,1.2590681446985617
1667,1692,8.185381018596509,1.47346162065138
1667,1779,4.078483598949491,0.7477976024165675
1667,1862,3.8036379125779054,0.6996190801894846
1668,1672,5.399903699178349,0.992024476208207
1668,1683,5.550502273893778,1.0763196502806762
1672,1683,7.188461863771692,1.1597491829386788
1672,1795,5.608411453780832,0.885992807632174
1672,1837,6.5882538658433605,1.0852698348989258
1672,1850,8.122563060044532,1.301922691781549
1672,1851,9.79030796596307,1.4124656797024102
1673,1795,7.18498920973922,1.084350967730949
1673,1837,6.11383614714109,0.9584840570704638
1673,1839,6.634604647341769,0.96095276070492
1673,1852,7.910908549781689,1.2700869346653678
1673,1865,8.192693613031613,1.1829633237678603
1677,1744,6.640577006525862,1.0794098028301904
1677,1774,6.342922345953796,0.9790745706756575
1677,1827,7.183003113747063,1.2054114291190046
1677,1853,7.32177250329454,1.1435440645721842
1677,1880,6.828814470821417,1.1454800201319209
