Label,Cell type id,Cell type name
1344,8,central cell
1232,8,central cell
1136,8,central cell
1256,8,central cell
1240,8,central cell
1284,8,central cell
1348,8,central cell
1252,8,central cell
1332,8,central cell
1100,8,central cell
1244,8,central cell
1282,8,central cell
1170,8,central cell
1202,8,central cell
1138,8,central cell
1098,8,central cell
1242,8,central cell
1350,8,central cell
1318,8,central cell
1334,8,central cell
1102,8,central cell
1310,8,central cell
1246,8,central cell
1089,8,central cell
1217,8,central cell
1137,8,central cell
1049,8,central cell
1177,8,central cell
1205,8,central cell
1155,8,central cell
1315,8,central cell
1171,8,central cell
1139,8,central cell
1067,8,central cell
1127,8,central cell
1079,8,central cell
1207,8,central cell
1167,8,central cell
1135,8,central cell
