from,to,distance,distance normalised by mean labelledImageArea
3,13,30.680640749203828,1.0335705427562991
8,9,25.531703184582057,0.9274750702173192
9,19,44.590527753808175,1.1629268870932616
13,25,39.26135245453254,1.051477982826164
13,28,49.48416030195164,1.403859927061584
17,21,32.19561318447742,0.9752580704102523
17,27,30.420162885072386,0.9795672099197997
19,22,40.48326895970545,1.095923894100113
19,26,29.977147497687174,0.8035903491079541
19,34,34.117316494214116,0.7876885196227631
19,41,61.450891068252396,1.441995422279825
19,44,58.238136721608036,1.3501759841977732
21,27,31.122740953808215,0.8571429959386694
21,38,38.32384637226833,0.9926066695117237
21,40,62.237603467981415,1.5603444323066142
22,28,24.4260351627047,0.7929676053364106
22,34,51.03171476532533,1.5352068791931444
25,27,40.42750385215326,1.0803373555047517
25,28,40.67824570155485,1.0660744838297995
25,35,30.934154291751835,0.8372082347778189
25,37,49.367879110711506,1.3288330835918374
26,41,34.0233283798357,1.0391449903728593
27,35,39.82282607420338,1.1703094766518236
27,40,48.50126946897536,1.2669280677310757
28,34,52.7680181459999,1.3808481515664153
28,37,36.38490960930407,1.0380996190728085
34,44,39.30272272462697,0.9822837482359658
34,50,43.9675163932164,1.0547880624766952
35,37,42.76110124825686,1.2677251122179618
35,40,28.446153232133014,0.7521195600039746
36,41,34.915209037379896,0.862120809392117
36,44,50.19846893712066,1.2230252018342458
36,59,38.94487201041842,1.0077843424548565
37,50,50.339253745347285,1.2973005359954348
37,60,34.63140959300434,1.0747160104521585
38,40,52.27245332563955,1.2916319732760808
38,48,24.533587163002153,0.6973463883409189
38,53,49.83890943333033,1.3576259609792454
38,62,56.63684697956619,1.6209612087990644
40,53,26.72787636612685,0.7024048040789068
40,60,53.870919174231524,1.4765685248148965
40,66,57.06817340888182,1.3910673796819175
41,44,56.39089442242517,1.4365320045143715
44,50,53.150588857285385,1.2808226308825617
44,59,35.82931565945302,0.9595950227991662
44,63,46.87556472658101,1.2436194753257335
44,65,50.21491814454662,1.453411181435303
50,60,51.47741355860578,1.3800760751520809
50,65,42.915298191049146,1.176627490464421
50,78,38.70268834907024,0.9652131555770777
53,62,25.774983731610117,0.8027497579119804
53,66,50.64358351252846,1.3569760707468785
53,81,39.9748781465412,1.2915553890399447
59,63,29.434793342723196,0.8394665485691023
60,66,33.411936707675444,0.9353652385496221
60,78,32.60866498262714,0.9655706328220085
62,68,27.76149751896282,0.8045904986832854
62,81,36.23739617348654,1.2569581853011484
63,65,25.584531919114756,0.7975636483342962
66,78,41.907614026477276,1.084778344322271
66,81,30.234255152749192,0.8753300617082335
68,71,26.992685308259794,0.77805160421257
