Label,Cell type id,Cell type name
1184,8,central cell
848,8,central cell
1200,8,central cell
936,8,central cell
1048,8,central cell
932,8,central cell
916,8,central cell
1164,8,central cell
1100,8,central cell
982,8,central cell
1134,8,central cell
1185,8,central cell
1121,8,central cell
865,8,central cell
945,8,central cell
1145,8,central cell
1017,8,central cell
933,8,central cell
1045,8,central cell
853,8,central cell
1165,8,central cell
1053,8,central cell
861,8,central cell
931,8,central cell
1123,8,central cell
979,8,central cell
947,8,central cell
1115,8,central cell
1147,8,central cell
903,8,central cell
935,8,central cell
1047,8,central cell
919,8,central cell
983,8,central cell
951,8,central cell
1199,8,central cell
1183,8,central cell
1119,8,central cell
