Label,Cell type id,Cell type name
2960,8,central cell
3096,8,central cell
3128,8,central cell
3012,8,central cell
3236,8,central cell
2980,8,central cell
2956,8,central cell
3100,8,central cell
2946,8,central cell
2898,8,central cell
3210,8,central cell
3002,8,central cell
3270,8,central cell
3134,8,central cell
3006,8,central cell
3265,8,central cell
2913,8,central cell
2985,8,central cell
3129,8,central cell
3013,8,central cell
3221,8,central cell
2997,8,central cell
3085,8,central cell
3053,8,central cell
3197,8,central cell
3267,8,central cell
3011,8,central cell
3091,8,central cell
2995,8,central cell
2955,8,central cell
3019,8,central cell
3227,8,central cell
3207,8,central cell
2959,8,central cell
