from,to,distance,distance normalised by mean labelledImageArea
2,6,32.16967255548355,1.1998990839076036
2,7,29.571756594079925,1.0344379199406686
3,4,23.996361192696195,0.8627857176965319
3,8,27.23304594623543,1.252531625129106
4,7,29.95248051288258,0.9315600718343213
4,8,30.15394179224321,1.0780717697444018
4,14,34.55611021541031,1.2594120832809705
4,17,38.98334571431275,1.4057516681496804
6,7,30.777591454352827,1.0339648147804705
6,10,37.41791939495851,1.2305049884621388
6,22,45.849304196486806,1.5612622828757106
7,10,45.11283990795144,1.4103815270925162
7,15,43.29690129077751,1.4081571539196898
8,16,26.342720412473607,1.0033821514841437
10,15,29.08167839873122,0.9270787180464545
10,22,22.77868124379904,0.7205117042393885
10,24,37.98491335371469,1.1940972868033435
10,27,43.93141741842418,1.6114029417564053
14,15,22.241079126567605,0.8628399994302973
14,17,19.306569812071345,0.9217266537272673
14,23,30.813587324040466,1.2221595395659746
15,23,34.94416354027834,1.1796266937276887
15,24,32.05118098649001,1.048644622080813
15,30,41.081144539022596,1.3931294345096532
16,17,29.356939481494873,1.1291469318966603
16,19,22.440381927642463,0.9159853623440416
16,25,36.32089404953306,1.2107832411991277
16,26,37.252545732731896,1.2326752771416232
17,23,26.66440494973097,1.04439326459579
17,26,34.772706167815066,1.3216232283335607
18,21,22.930657935036937,0.892945988015534
18,29,30.080855791836964,1.052466689044776
19,21,19.158736989823925,0.9857311478188648
19,25,23.760695102175386,0.9675783532259145
21,25,26.07068202252019,1.0016455378400457
21,29,24.886070137462962,1.0079306610676322
22,27,34.99912363294827,1.3411791168393232
23,26,25.637776650262193,0.8597788955749608
23,30,32.05526264842261,1.1054867775790396
23,34,41.694348237901984,1.3494301639916277
24,30,23.762697321806794,0.7932129367664322
24,32,33.93207373386687,1.1728551912858503
24,37,32.62464767217037,1.325344916402634
25,26,35.47907993211709,1.1721597637066687
25,29,35.13701192176252,1.2160479571536063
25,31,28.538569790327895,1.0420117095603323
25,35,39.34907420656463,1.2488826327079212
26,31,25.51785850616334,0.9234870024189504
26,34,47.54349984100135,1.507164735158089
26,36,46.25201275645619,1.4768448799668115
27,32,23.76627579511726,0.9968925300294673
29,35,46.015338733236874,1.5130751321483562
30,34,25.407168824948773,0.8257487033541885
30,37,29.855990517174586,1.2832189003047298
31,35,29.914386200839424,1.0320893264137043
31,36,39.53355555125679,1.384999266408287
31,38,31.320424802269134,1.0644766095310205
32,37,21.965930699960488,1.00167634929416
32,40,31.81196353337194,1.1896934766289444
34,36,24.36501248048003,0.7532414671213608
34,41,46.38162686901543,1.4550054680434188
34,42,29.550937878752073,1.1612881325596984
35,38,34.822086188628475,1.0459635631704403
35,44,49.04433688764783,1.5646808950186795
36,38,23.480966617676142,0.7135046034033646
36,42,28.231690701492596,1.1218675985831994
36,48,36.8498490278876,1.335877642430237
37,40,21.202611529726923,0.9638137678776364
38,44,34.43946609579944,1.0846728496238298
40,41,31.239045196631032,1.0747191276187131
41,42,24.640697070604354,1.0033526750223676
41,47,32.71194006043486,1.1304506713945897
41,48,31.07444306681914,1.1495192669735272
42,48,18.567332659429486,0.9757000113114366
47,48,23.819624106561186,0.9753846260990893
