Label,Cell type id,Cell type name
5968,8,central cell
6192,8,central cell
6128,8,central cell
6164,8,central cell
6132,8,central cell
5932,8,central cell
6108,8,central cell
6178,8,central cell
6130,8,central cell
5962,8,central cell
5978,8,central cell
6138,8,central cell
6166,8,central cell
6198,8,central cell
5966,8,central cell
5953,8,central cell
6177,8,central cell
6097,8,central cell
6193,8,central cell
5937,8,central cell
6153,8,central cell
5993,8,central cell
6137,8,central cell
6165,8,central cell
6109,8,central cell
6147,8,central cell
6195,8,central cell
6155,8,central cell
6171,8,central cell
6107,8,central cell
5947,8,central cell
6095,8,central cell
6175,8,central cell
