Label,Cell type id,Cell type name
224,8,central cell
528,8,central cell
296,8,central cell
488,8,central cell
152,8,central cell
440,8,central cell
4,8,central cell
388,8,central cell
164,8,central cell
468,8,central cell
290,8,central cell
418,8,central cell
530,8,central cell
90,8,central cell
250,8,central cell
38,8,central cell
486,8,central cell
470,8,central cell
462,8,central cell
529,8,central cell
81,8,central cell
9,8,central cell
489,8,central cell
25,8,central cell
153,8,central cell
217,8,central cell
473,8,central cell
249,8,central cell
485,8,central cell
525,8,central cell
291,8,central cell
339,8,central cell
115,8,central cell
539,8,central cell
443,8,central cell
295,8,central cell
23,8,central cell
471,8,central cell
527,8,central cell
