Label,Cell type id,Cell type name
2848,8,central cell
2800,8,central cell
2824,8,central cell
2840,8,central cell
2872,8,central cell
2676,8,central cell
2604,8,central cell
2876,8,central cell
2818,8,central cell
2786,8,central cell
2666,8,central cell
2618,8,central cell
2874,8,central cell
2682,8,central cell
2822,8,central cell
2694,8,central cell
2870,8,central cell
2766,8,central cell
2846,8,central cell
2814,8,central cell
2689,8,central cell
2881,8,central cell
2753,8,central cell
2769,8,central cell
2737,8,central cell
2665,8,central cell
2789,8,central cell
2805,8,central cell
2685,8,central cell
2787,8,central cell
2707,8,central cell
2763,8,central cell
2875,8,central cell
2823,8,central cell
2831,8,central cell
2735,8,central cell
2815,8,central cell
