Label,Cell type id,Cell type name
1536,8,central cell
1664,8,central cell
1712,8,central cell
1704,8,central cell
1640,8,central cell
1540,8,central cell
1556,8,central cell
1692,8,central cell
1596,8,central cell
1826,8,central cell
1586,8,central cell
1610,8,central cell
1450,8,central cell
1498,8,central cell
1466,8,central cell
1606,8,central cell
1590,8,central cell
1633,8,central cell
1585,8,central cell
1649,8,central cell
1521,8,central cell
1609,8,central cell
1449,8,central cell
1657,8,central cell
1557,8,central cell
1549,8,central cell
1571,8,central cell
1715,8,central cell
1515,8,central cell
1691,8,central cell
1615,8,central cell
1583,8,central cell
1631,8,central cell
