Label,Cell type id,Cell type name
3648,8,central cell
3616,8,central cell
3552,8,central cell
3588,8,central cell
3620,8,central cell
3284,8,central cell
3636,8,central cell
3380,8,central cell
3420,8,central cell
3292,8,central cell
3650,8,central cell
3634,8,central cell
3354,8,central cell
3514,8,central cell
3606,8,central cell
3598,8,central cell
3374,8,central cell
3566,8,central cell
3358,8,central cell
3649,8,central cell
3281,8,central cell
3657,8,central cell
3385,8,central cell
3513,8,central cell
3269,8,central cell
3421,8,central cell
3517,8,central cell
3459,8,central cell
3619,8,central cell
3283,8,central cell
3307,8,central cell
3483,8,central cell
3579,8,central cell
3271,8,central cell
3511,8,central cell
3447,8,central cell
3279,8,central cell
3615,8,central cell
3295,8,central cell
