Label,Cell type id,Cell type name
1408,8,central cell
1552,8,central cell
1576,8,central cell
1368,8,central cell
1348,8,central cell
1636,8,central cell
1620,8,central cell
1596,8,central cell
1634,8,central cell
1618,8,central cell
1330,8,central cell
1674,8,central cell
1306,8,central cell
1606,8,central cell
1638,8,central cell
1302,8,central cell
1590,8,central cell
1334,8,central cell
1598,8,central cell
1345,8,central cell
1673,8,central cell
1561,8,central cell
1605,8,central cell
1317,8,central cell
1621,8,central cell
1373,8,central cell
1597,8,central cell
1411,8,central cell
1379,8,central cell
1363,8,central cell
1651,8,central cell
1659,8,central cell
1671,8,central cell
1303,8,central cell
1623,8,central cell
1567,8,central cell
1375,8,central cell
