from,to,distance,distance normalised by mean labelledImageArea
1235,1320,6.759265997502983,1.3375719427619917
1235,1376,7.505854040074319,1.256114446411979
1235,1393,6.3152740876703035,1.1788897683741801
1235,1397,6.374286329878381,1.1269265241239577
1235,1418,4.1945527809767755,0.7964581604243882
1235,1451,6.962268400054683,1.2893564967105318
1241,1341,7.278323679531503,1.1109607769775613
1241,1360,5.936871282915268,0.8886615811180341
1241,1361,9.142232400775478,1.4052256812142014
1241,1629,8.86373357233446,1.365967344092493
1241,1646,6.703285207031621,1.106483401002924
1254,1383,8.158868854277536,1.395315642742382
1254,1458,7.275299814413146,1.1502906765947287
1254,1493,5.13318251468083,0.9072151462574751
1254,1655,8.309620499782163,1.3732040191377923
1264,1438,5.609329293743594,0.9751153433214025
1264,1471,7.4071340382313196,1.260433230944575
1264,1472,5.6449505864289895,0.9014514490046559
1264,1482,6.8961800009661145,1.2177916441673784
1271,1472,3.457110734703188,0.6427000024954637
1271,1473,6.2942557881611405,1.1781409239097236
1271,1498,5.585470969121582,1.0782732349573725
1271,1515,5.316080020325127,0.9893785181109621
1273,1297,5.969832213722593,1.0930944822295756
1273,1376,6.27268677442928,1.025235590597986
1273,1411,8.023721434153856,1.441690171116087
1273,1451,5.030145148999183,0.9051174891216598
1273,1483,6.360153332271166,1.1593280465379576
1273,1518,6.4914241318835435,1.2495875926131965
1276,1470,8.464429873630003,1.4979051397549086
1276,1478,4.356406777379727,0.7820251905002624
1276,1496,6.068387147578837,1.0727829507206175
1276,1509,6.408243892526251,1.2937726011632946
1276,1522,5.075339622222339,1.0919039971066784
1276,1537,5.439003933037737,1.0699457887733315
1277,1278,5.535711300465373,0.9603636407378345
1277,1282,7.469853349671599,1.1577119726163807
1277,1473,7.536518258877905,1.203455323863134
1277,1515,5.509659386940357,0.8761426921213087
1277,1527,6.396231058529701,1.1031871346709563
1277,1541,6.911098987925145,1.0867824433309723
1278,1282,7.088778770176144,1.178264879578748
1278,1473,6.552318776288286,1.127337480708525
1278,1474,4.409881172095684,0.8376594397209565
1279,1440,6.803136756673353,1.2423152877276153
1279,1441,4.972754288118406,0.9740644976848303
1279,1444,6.121174758982134,1.0571748506604914
1279,1511,5.755993846417837,1.0795049427435857
1279,1539,4.9447018324263015,0.8816810112101933
1281,1471,5.862836911956531,1.1785852810305435
1281,1482,6.028678380690085,1.2772681020160364
1281,1496,5.1731963848669045,0.9899907010905418
1281,1512,3.7979281104439013,0.7671408055823615
1281,1524,6.221071436625686,1.2905398559110732
1282,1283,5.1236160075185175,0.8056687206659704
1282,1541,6.217019531648584,0.943601971337005
1282,1556,9.25774638427733,1.3854307448990668
1282,1569,9.007026952491037,1.3725360959877528
1283,1544,7.037913738040558,1.1602208979370432
1283,1556,8.785314779568234,1.3805949412165335
1286,1297,4.629157112218161,0.8541120151049714
1286,1451,6.777958151360924,1.2286442239703366
1286,1486,5.273670673411453,0.9149358427449068
1286,1582,4.94053460367398,0.8398038309717106
1290,1343,4.921657293473411,0.9068863551718546
1290,1345,5.713042628197342,0.9780349213226716
1290,1362,7.169324128658435,1.2447596844392326
1290,1363,6.653283977896174,1.3168792487309535
1290,1669,3.9636597191989122,0.8116648813606342
1292,1495,7.283870079593676,1.438863717343975
1292,1509,7.533388350596297,1.4693624274563815
1292,1534,4.892791206417864,0.8062575734013647
1292,1564,6.24043051576572,1.160699511072807
1292,1679,6.337986763357905,1.23880989123036
1293,1298,7.582922163737407,1.4694550820868701
1293,1302,6.1127539077244055,1.150150283312526
1293,1512,6.875765659793825,1.3117379365779263
1293,1524,3.859366668314893,0.7539457873285134
1293,1540,5.4370366727106045,1.0237270951221709
1293,1566,5.470622383321662,1.1062207625991374
1295,1303,8.314085482895877,1.3000466519407265
1295,1515,9.521201880477065,1.4241301187364706
1295,1526,6.018707842261495,0.9380774042491858
1295,1527,6.7739641461554845,1.0879410281550577
1295,1552,5.371272532501027,0.8995882346660857
1295,1554,5.862850690483257,0.9532756607401706
1295,1567,8.958074761693439,1.3177109347487408
1295,1598,8.868292155787382,1.3461722416181
1296,1307,8.534368688754899,1.3863869322044462
1296,1480,4.448129566694298,0.8096620455767692
1296,1483,7.459862154865866,1.2797746232335734
1296,1516,7.222402432715863,1.0998341500311963
1296,1518,8.148168827386923,1.466596679632796
1296,1578,4.592950023067964,0.809216396829367
1296,1580,7.4812522665393395,1.3202109382024125
