Label,Cell type id,Cell type name
736,8,central cell
656,8,central cell
712,8,central cell
596,8,central cell
564,8,central cell
524,8,central cell
540,8,central cell
668,8,central cell
572,8,central cell
636,8,central cell
658,8,central cell
626,8,central cell
778,8,central cell
666,8,central cell
486,8,central cell
598,8,central cell
694,8,central cell
758,8,central cell
734,8,central cell
657,8,central cell
521,8,central cell
713,8,central cell
553,8,central cell
617,8,central cell
665,8,central cell
697,8,central cell
505,8,central cell
773,8,central cell
741,8,central cell
693,8,central cell
629,8,central cell
637,8,central cell
467,8,central cell
779,8,central cell
471,8,central cell
631,8,central cell
527,8,central cell
783,8,central cell
687,8,central cell
735,8,central cell
