from,to,distance,distance normalised by mean labelledImageArea
5,6,11.036968725876589,0.9068696559390041
5,7,17.216123271081898,1.1785897797063785
5,11,13.901301170855767,1.071060320793223
6,8,12.837701456771661,0.9430818946744738
6,11,16.019345186990062,1.1712535903218315
7,10,19.591728852254008,1.1674781109779333
7,11,18.58948819028964,1.1702846344140805
7,15,15.83031890389713,0.9839632368917137
7,17,25.21226886796507,1.4411595912922632
8,9,15.259718532777116,0.9330333969118094
9,19,14.53987568007554,0.9157898892749885
9,21,23.026746253701916,1.3759130584077406
9,26,20.543486737471028,1.4529070455122612
10,15,14.185320138302616,0.9096092710621221
10,16,15.015320723354897,1.0169414548936386
10,20,22.07979242161034,1.3206240714988273
10,23,26.350226493449377,1.6155592519309412
11,17,13.641079548269172,0.8441450931902607
13,19,13.579251751062788,1.124254406953972
15,17,19.558492522661968,1.1955105320370385
15,23,18.45643398196768,1.1833735045505152
16,18,10.349169909658665,0.9308724869547861
16,20,17.743697211672686,1.1660272812138905
17,21,17.56834161822965,1.0653011884122594
17,28,19.703484700313837,1.1513807803234057
17,30,25.789850236912816,1.5729065605733057
18,20,16.040196256416685,1.1789003985844337
20,23,14.987413669837862,0.8963438563008387
20,31,21.00689087144668,1.2652007712017803
20,34,16.861560571747948,1.18656480969909
21,29,17.943476946699672,1.2041527223442288
21,30,17.1158512787836,1.1386880932167343
23,28,20.557113034009113,1.2546645214355485
23,35,17.8747914794045,1.1716336380457293
26,29,10.578104181987252,0.8880184765155074
28,30,15.294569113072315,0.9735215846252372
28,35,17.34677451882208,1.1312512735705516
28,36,23.41225955252638,1.3997656063917086
28,38,21.086067932290646,1.3488099539981415
29,30,15.116766198135572,1.0216806376469054
29,32,15.114153921594161,1.1065562833500242
29,42,19.411695909416633,1.4146139589002933
30,36,16.607835159535878,1.0385160553829162
31,34,11.545141590178385,0.8498967733598257
31,41,23.922086067591128,1.5193019968239505
31,43,16.45688708357812,1.0718620883865764
32,42,13.561796471565511,1.0727321106636205
34,41,16.11242157460833,1.2208661386228306
35,38,14.452649655331335,1.0004417302559308
35,41,14.441331716330646,0.9769689635619592
36,38,17.6690818914292,1.1101604907640201
36,44,15.043680833066905,1.0976256239142739
36,46,19.634729694014613,1.1342365449617964
36,50,18.555550331711,1.2674450645910265
38,41,20.005404632895964,1.3255934479514517
38,48,17.477425549800287,1.3657500522084127
38,50,11.032799023024095,0.824692621147966
41,43,15.30359816815004,1.0193868957377228
41,48,13.27882408010938,1.0079174976844831
42,44,14.04543086855874,1.2598332988072596
42,46,18.467017896095033,1.2018033553453575
42,47,13.072597017943732,1.1544975760203051
44,46,11.592471840891958,0.8220952142608348
46,47,14.76829435735089,1.0371332935783597
48,50,16.8024633867967,1.5041670219935313
48,54,10.785913107207325,0.8934529370451556
