Label,Cell type id,Cell type name
960,8,central cell
400,8,central cell
848,8,central cell
984,8,central cell
1016,8,central cell
516,8,central cell
740,8,central cell
468,8,central cell
892,8,central cell
650,8,central cell
698,8,central cell
646,8,central cell
918,8,central cell
982,8,central cell
878,8,central cell
705,8,central cell
961,8,central cell
969,8,central cell
985,8,central cell
825,8,central cell
1017,8,central cell
869,8,central cell
757,8,central cell
589,8,central cell
941,8,central cell
1005,8,central cell
829,8,central cell
771,8,central cell
979,8,central cell
859,8,central cell
967,8,central cell
983,8,central cell
567,8,central cell
655,8,central cell
927,8,central cell
991,8,central cell
