genotype,replicate id,time point,cell label,angleGiniCoeff,lengthGiniCoeff,angleGiniCoeff_ignoringGuardCells,lengthGiniCoeff_ignoringGuardCells,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,111104,0.1485902337085431,0.2702965028865065,0.158414586529558,0.2799239956337556,1694.53,1612.02,2128.206325034955,0.9513080323157453,1.2559272040240983,1.320210868993533
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,105728,0.2008432178015314,0.1438861121720197,0.2284247556610861,0.1455499091583108,792.849,711.863,1196.299325595788,0.8978544464330535,1.5088614926622699,1.6805190403150438
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,107264,0.1655483380085872,0.1308165992948123,0.1832389602267178,0.0787239955986173,1633.63,1622.18,2088.249394343133,0.9929910689691056,1.2782878585378163,1.2873105292526927
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,111360,0.2392663845826987,0.3216314884080239,0.2747476215491471,0.2814115442521148,714.699,381.118,531.0556843043896,0.533256657697856,0.7430480304357354,1.3934153839608459
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,105792,0.0768415443165026,0.084862554095003,0.0768415443165026,0.084862554095003,990.775,1109.22,1125.7783320063572,1.1195478287199414,1.1362603335836665,1.014927906101907
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,110784,0.1564944666243464,0.2993404050376374,0.1564944666243464,0.2993404050376374,3848.72,4676.58,5810.279218491702,1.215100085223139,1.5096653480875986,1.2424205762526679
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,111040,0.181644897383626,0.3308045181005394,0.2072238305954099,0.3113700832376653,2108.71,1818.76,2662.7525567513408,0.8624988737190036,1.2627400433209597,1.4640483388414858
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,110016,0.1279369081939052,0.3443015704017082,0.1362653032381179,0.3608770843740149,2019.8,2126.99,2617.048192616214,1.0530696108525597,1.2956966989881245,1.2303998573647332
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,110624,0.1669131334813951,0.3286139164788081,0.1388138286267619,0.2993978546457585,3070.87,3473.87,4453.267906126877,1.1312331684506345,1.4501649064033573,1.2819328029335806
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,106656,0.1552076724609277,0.2593738539825752,0.076473952839054,0.2870446478441118,1768.08,1955.57,2762.448568601591,1.1060415818288765,1.5624002130003116,1.4126053112911279
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,111008,0.1465485423329155,0.2766382809754087,0.1542412186463196,0.2743589824999369,3688.51,4444.82,6043.680517169471,1.2050448555107616,1.6385154214491682,1.3597132205959908
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,107232,0.160620097023503,0.2246233342146804,0.1809904817174062,0.2336519953832334,1472.41,1605.15,1899.4292385287408,1.0901515202966565,1.2900138130878904,1.1833344164275867
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,111120,0.1201286958854923,0.3471153012446801,0.1201286958854923,0.3471153012446801,1135.74,1314.21,1553.437648767287,1.1571398383432827,1.3677757662557337,1.1820315237041927
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,110480,0.0981608057270151,0.3164139168665972,0.1077115266934708,0.330236839431044,1260.08,1413.64,2047.197707727875,1.1218652783950227,1.6246569326771911,1.4481747175574227
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,104656,0.2855193739928271,0.2293346649127783,0.0551016736746178,0.2050014406764964,877.891,308.56,399.3569139048932,0.35147871432786076,0.4549048958297707,1.2942601565494334
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,110288,0.2012761994430649,0.2448036015028498,0.0373012166631678,0.124289174796364,1769.41,1254.19,1477.0651805163973,0.7088181936351665,0.8347783614404786,1.1777044789995115
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,111056,0.1935076195935826,0.3181154886983988,0.2237521363053629,0.2837777738048602,2941.34,3288.3,4841.259798169056,1.1179598414328162,1.6459368172904376,1.4722682839671124
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,110032,0.1230159341026283,0.2713802331962531,0.1230159341026283,0.2713802331962531,1653.18,1751.11,1940.2610312661868,1.059237348625074,1.1736538255157858,1.1080177894399477
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,107568,0.1609248864919041,0.3105361258288814,0.1642900063941666,0.279720196473264,1856.75,1636.57,1812.587736232899,0.881416453480544,0.9762152881286652,1.1075528307575595
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,107312,0.1950433584979028,0.3079164042198617,0.2111843156178497,0.3096939184853711,1010.78,1066.27,1298.0777240050825,1.0548981974316864,1.284233684882054,1.217400587098092
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,109744,0.2595104626406933,0.2434099827831091,0.2881411603307385,0.2512245766009197,1158.88,802.885,1049.3111007099662,0.6928111625017257,0.9054527653509994,1.306925774812042
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,107184,0.1181769821268007,0.3464594983958623,0.1181769821268007,0.3464594983958623,3551.15,4271.93,5714.858773902621,1.2029708685918648,1.609298051026462,1.3377697607176664
WT_4dag,20210712_XVE_5_0_A_merged_Region1,96h,109232,0.171043153533889,0.1531317806418203,0.171043153533889,0.1531317806418203,1777.36,1456.76,1741.293694599791,0.8196201107260207,0.9797079345770081,1.1953195410361288
