Label,Cell type id,Cell type name
5152,8,central cell
5024,8,central cell
5216,8,central cell
5072,8,central cell
5296,8,central cell
5160,8,central cell
5032,8,central cell
4952,8,central cell
5048,8,central cell
5028,8,central cell
5132,8,central cell
5196,8,central cell
5100,8,central cell
5212,8,central cell
5282,8,central cell
5138,8,central cell
5290,8,central cell
5274,8,central cell
5126,8,central cell
5270,8,central cell
5150,8,central cell
4990,8,central cell
5153,8,central cell
5305,8,central cell
5005,8,central cell
5213,8,central cell
5085,8,central cell
5283,8,central cell
5291,8,central cell
5275,8,central cell
5127,8,central cell
5135,8,central cell
5263,8,central cell
5167,8,central cell
5215,8,central cell
