Label,Cell type id,Cell type name
128,8,central cell
416,8,central cell
80,8,central cell
240,8,central cell
264,8,central cell
392,8,central cell
408,8,central cell
4,8,central cell
260,8,central cell
180,8,central cell
396,8,central cell
162,8,central cell
338,8,central cell
242,8,central cell
394,8,central cell
74,8,central cell
202,8,central cell
42,8,central cell
106,8,central cell
362,8,central cell
6,8,central cell
262,8,central cell
86,8,central cell
398,8,central cell
430,8,central cell
350,8,central cell
417,8,central cell
265,8,central cell
105,8,central cell
361,8,central cell
313,8,central cell
377,8,central cell
149,8,central cell
341,8,central cell
13,8,central cell
45,8,central cell
429,8,central cell
381,8,central cell
11,8,central cell
27,8,central cell
155,8,central cell
379,8,central cell
251,8,central cell
431,8,central cell
415,8,central cell
