from,to,distance,distance normalised by mean labelledImageArea
2025,2111,4.6293567842736,0.7327206683537977
2025,2112,4.637600087987321,0.7745502958607449
2025,2189,7.3418302383601866,1.2367951922015923
2025,2191,8.26739258816829,1.2888774076262852
2025,2311,7.096743925519648,1.1516076079983424
2027,2100,5.58547023445654,0.9065201820045587
2027,2110,7.035693771761246,1.198781553517899
2027,2159,10.157652599887436,1.502823462736462
2027,2267,7.9177534528425415,1.111700333267124
2045,2072,5.090626950015588,0.8853726206488952
2045,2092,6.972382180539445,1.2829305265651743
2045,2154,6.4151224068387815,1.2378928959270386
2045,2319,4.466295386450049,0.8473532833775589
2045,2322,6.362359396955268,1.0084263874388308
2063,2101,8.82704535908953,1.19090347970728
2063,2111,5.1096236785798625,0.7506850477657078
2063,2158,7.562297732028539,1.1376803938442759
2063,2183,6.328376639588069,1.0261386177613365
2063,2294,8.261964898768573,1.2910541607338728
2063,2309,5.987459420828168,0.9491786769836237
2066,2073,8.979590144344005,1.257759790848608
2066,2192,6.9784367340329165,0.9972329987851904
2066,2214,7.526849007260607,1.0767737842012952
2066,2215,7.065254651525307,1.1060251659985543
2071,2079,6.835032714106055,1.0646894633529422
2071,2089,8.227790452217413,1.139754266611497
2071,2115,8.7029148349102,1.3226688571331835
2071,2129,6.12615932666626,0.9747507723405114
2071,2131,9.420085732014332,1.344543717745229
2071,2152,8.123096436839834,1.2489875207625931
2071,2179,6.661709708243072,1.107072184624618
2071,2258,6.455599604382232,1.02654087134686
2072,2154,7.7233673292482985,1.3608850430597734
2072,2159,8.47186826701171,1.2731664804997302
2072,2322,7.599119926603345,1.130822669712374
2073,2078,6.188280871275963,0.9060129768314182
2073,2192,6.283046835676143,0.9031006938746261
2073,2200,9.068093941600958,1.2589409318090938
2073,2214,7.6021286119415254,1.093904493820512
2075,2099,9.47391030673185,1.6114725972920685
2075,2100,8.163219638108485,1.3174093833176117
2075,2111,9.796378134576063,1.525728670290348
2075,2158,6.315225595249942,1.010200786270418
2075,2189,5.65721415274338,0.9357858102365354
2075,2205,4.739823908121481,0.8335193791260024
2075,2267,7.75618910935003,1.084405247769219
2076,2212,7.645325139351497,1.0766958316690745
2076,2223,5.995055021640752,0.8616969702899921
2076,2237,7.281891931146739,1.1284460120271425
2078,2200,8.680590429026127,1.2512297121769724
2078,2214,8.469346122440621,1.2689750443404841
2078,2238,7.047705950967307,1.0095974229348739
2078,2239,7.24193869446573,1.1214577358638074
2078,2248,6.6437179290514745,1.021818457836942
2079,2152,6.60086634772285,1.1072832366576935
2079,2258,5.591476565666713,0.9765188612683062
2080,2223,6.159818062451196,1.0164522527382507
2080,2266,6.049170113957783,1.0257929992307
2082,2109,7.115313150136121,1.1187371120149603
2082,2136,5.287674539993928,0.7850171233920396
2082,2170,5.062555944273604,0.7883894165515992
2082,2182,9.203763788673632,1.4452206521327762
2082,2201,8.536889636068922,1.271275874103274
2082,2321,7.433550872907241,1.2038703432970843
2086,2214,7.793319558981271,1.2394245063700533
2086,2239,6.666667866340726,1.1005628311705813
2086,2240,5.118077695932332,0.7920396259413331
2086,2271,7.9010514249687045,1.178648479825076
2086,2274,6.216621444965102,1.021821254265545
2088,2239,7.171941300826437,1.1985866494127395
2088,2248,5.919601526023521,0.9814657605446806
2088,2270,5.094019315886523,0.9662375007397619
2088,2271,5.278539311173121,0.7953401038088197
2088,2293,6.811203325330995,1.1201591674927254
2089,2179,5.499885955263074,0.8658553983636755
2089,2182,7.999489705412465,1.1788832832840976
2089,2258,7.877231753154149,1.1917988971920908
2089,2259,7.336290845992954,1.0682617318190135
2089,2317,6.020078183786321,0.8900655841657114
2090,2094,8.205564031497165,1.214153062436275
2090,2230,7.515156230744641,1.202290347940094
2090,2251,6.500704055592747,0.9772832225870162
2090,2297,5.957947662148435,0.923721697285322
2092,2201,6.227368250693386,1.008358057909363
2092,2259,4.838290481152305,0.8211108068053011
2092,2262,7.162407124678755,1.1860484628130052
2092,2319,7.81676109783643,1.4364641834015257
2092,2322,6.85677233868888,1.0626434682387165
2094,2101,6.757245480733994,0.9575891719712472
2094,2250,7.62299099580342,1.2748662006607228
2094,2251,7.513259058398028,1.1794232010656052
2094,2297,7.322006228083939,1.1887940295266803
2094,2311,5.952772744494786,0.9502355765117397
2094,2325,8.283349206124297,1.2790647613022337
2098,2106,7.730701880799698,1.2790168248546607
2098,2108,7.007821491826113,1.1298750133612152
2098,2151,7.632497387919631,1.3080347046130856
2098,2266,7.56205278936877,1.1794913377452207
2098,2268,7.043881045134137,1.1290076007723835
2098,2291,4.434739460859006,0.8080624989121311
2099,2100,4.5950133819174015,0.8270327093653952
2099,2110,5.5863012047328775,1.0681508323669684
2099,2205,6.40796933045095,1.2864840810967957
2099,2262,5.410424716230695,0.9237650108776438
2099,2322,7.677255451142679,1.2219871855719922
2100,2110,6.31036823727427,1.1300242087007037
2100,2267,7.128645653979444,1.0347215340310716
2101,2111,10.636006577019403,1.519859164578303
2101,2250,8.718082806879046,1.3212219492518802
2101,2274,6.771930088505049,0.9638749889663335
2101,2294,6.544340205253697,0.9911736965780747
2101,2311,6.750000476451834,0.9842673570541827
2106,2151,4.630920301192841,0.7855299020189065
2106,2152,7.918811439862676,1.3030601639225126
2106,2291,6.726542835045356,1.211537461361352
2108,2115,7.385399181960309,1.1697573789135023
2108,2151,6.052629744540798,0.9992430577206547
2108,2268,8.600250734490247,1.3339454753325275
2108,2292,4.83729953579474,0.8232750284320074
2108,2304,7.156650978753959,1.0345670828567972
2109,2136,8.145714496101615,1.2792303351912515
2109,2176,5.36285675576031,0.9837156993671433
2109,2293,5.13636298683222,0.8200235992456112
2109,2308,6.768475514006089,1.2544941501130853
2109,2321,6.119965170832265,1.0604757736830108
2110,2159,4.824774153263551,0.7735198951772881
2110,2322,7.3963514882744725,1.172609730976047
2111,2158,8.216869653347313,1.329146915676011
2111,2189,7.19042349723575,1.203694242690283
2111,2311,8.913985560124047,1.4380744728929036
2112,2191,8.730878800693546,1.425308560313469
2112,2311,7.418919968223138,1.2657554854827786
2112,2325,7.028979648576315,1.15477792381276
2115,2129,4.636978052180106,0.7858297247583397
2115,2131,6.058674322126912,0.9091975311984768
2115,2151,7.029042781275415,1.1807015664253484
2115,2304,8.388935601254785,1.2288411034884228
2129,2151,6.140313998241458,1.0915040110918914
2129,2152,5.635056087786526,0.9689223420380183
2131,2170,5.749205271000506,0.8697340574842709
2131,2179,6.046179784591258,0.9897019384918234
2131,2182,7.786222853200388,1.187131819441419
2131,2304,9.237971730006539,1.2762234881149093
