Label,Cell type id,Cell type name
2304,8,central cell
2176,8,central cell
2248,8,central cell
2088,8,central cell
2136,8,central cell
2308,8,central cell
2092,8,central cell
2306,8,central cell
2082,8,central cell
2274,8,central cell
2202,8,central cell
2170,8,central cell
2182,8,central cell
2262,8,central cell
2294,8,central cell
2158,8,central cell
2270,8,central cell
2321,8,central cell
2257,8,central cell
2201,8,central cell
2309,8,central cell
2101,8,central cell
2293,8,central cell
2157,8,central cell
2205,8,central cell
2109,8,central cell
2131,8,central cell
2075,8,central cell
2183,8,central cell
2063,8,central cell
2287,8,central cell
2271,8,central cell
2111,8,central cell
2239,8,central cell
