Label,Cell type id,Cell type name
1280,8,central cell
1216,8,central cell
1200,8,central cell
1032,8,central cell
1048,8,central cell
1332,8,central cell
1308,8,central cell
1282,8,central cell
1250,8,central cell
1354,8,central cell
1194,8,central cell
1018,8,central cell
1222,8,central cell
1326,8,central cell
1198,8,central cell
1310,8,central cell
1118,8,central cell
1278,8,central cell
1345,8,central cell
1265,8,central cell
1033,8,central cell
1173,8,central cell
1429,8,central cell
1235,8,central cell
1075,8,central cell
1291,8,central cell
1191,8,central cell
1255,8,central cell
1431,8,central cell
1295,8,central cell
1103,8,central cell
1135,8,central cell
1343,8,central cell
