Label,Cell type id,Cell type name
2560,8,central cell
2392,8,central cell
2424,8,central cell
2498,8,central cell
2578,8,central cell
2502,8,central cell
2406,8,central cell
2550,8,central cell
2574,8,central cell
2414,8,central cell
2505,8,central cell
2537,8,central cell
2393,8,central cell
2361,8,central cell
2389,8,central cell
2573,8,central cell
2381,8,central cell
2589,8,central cell
2333,8,central cell
2525,8,central cell
2499,8,central cell
2571,8,central cell
2379,8,central cell
2539,8,central cell
2567,8,central cell
2535,8,central cell
2583,8,central cell
2519,8,central cell
2359,8,central cell
2551,8,central cell
2351,8,central cell
2479,8,central cell
