Label,Cell type id,Cell type name
5776,8,central cell
5808,8,central cell
5848,8,central cell
5764,8,central cell
5532,8,central cell
5826,8,central cell
5810,8,central cell
5706,8,central cell
5850,8,central cell
5830,8,central cell
5838,8,central cell
5790,8,central cell
5726,8,central cell
5822,8,central cell
5601,8,central cell
5809,8,central cell
5745,8,central cell
5849,8,central cell
5593,8,central cell
5701,8,central cell
5541,8,central cell
5845,8,central cell
5837,8,central cell
5789,8,central cell
5501,8,central cell
5699,8,central cell
5843,8,central cell
5579,8,central cell
5691,8,central cell
5575,8,central cell
5751,8,central cell
5519,8,central cell
5727,8,central cell
