Label,Cell type id,Cell type name
6400,8,central cell
6240,8,central cell
6288,8,central cell
6248,8,central cell
6456,8,central cell
6404,8,central cell
6428,8,central cell
6402,8,central cell
6274,8,central cell
6338,8,central cell
6242,8,central cell
6282,8,central cell
6442,8,central cell
6250,8,central cell
6430,8,central cell
6398,8,central cell
6401,8,central cell
6425,8,central cell
6437,8,central cell
6293,8,central cell
6317,8,central cell
6403,8,central cell
6323,8,central cell
6443,8,central cell
6379,8,central cell
6427,8,central cell
6363,8,central cell
6267,8,central cell
6439,8,central cell
6231,8,central cell
6399,8,central cell
