Label,Cell type id,Cell type name
928,8,central cell
736,8,central cell
752,8,central cell
648,8,central cell
968,8,central cell
600,8,central cell
952,8,central cell
996,8,central cell
660,8,central cell
596,8,central cell
724,8,central cell
908,8,central cell
642,8,central cell
738,8,central cell
938,8,central cell
1002,8,central cell
954,8,central cell
998,8,central cell
982,8,central cell
950,8,central cell
718,8,central cell
814,8,central cell
670,8,central cell
585,8,central cell
997,8,central cell
949,8,central cell
629,8,central cell
885,8,central cell
653,8,central cell
589,8,central cell
595,8,central cell
883,8,central cell
907,8,central cell
999,8,central cell
727,8,central cell
591,8,central cell
927,8,central cell
