Label,Cell type id,Cell type name
448,8,central cell
580,8,central cell
740,8,central cell
340,8,central cell
764,8,central cell
610,8,central cell
466,8,central cell
690,8,central cell
498,8,central cell
714,8,central cell
618,8,central cell
746,8,central cell
602,8,central cell
346,8,central cell
570,8,central cell
442,8,central cell
438,8,central cell
758,8,central cell
502,8,central cell
398,8,central cell
462,8,central cell
686,8,central cell
574,8,central cell
753,8,central cell
457,8,central cell
441,8,central cell
389,8,central cell
461,8,central cell
413,8,central cell
467,8,central cell
587,8,central cell
683,8,central cell
747,8,central cell
667,8,central cell
471,8,central cell
559,8,central cell
351,8,central cell
447,8,central cell
