Label,Cell type id,Cell type name
2944,8,central cell
3088,8,central cell
3152,8,central cell
3056,8,central cell
3044,8,central cell
3084,8,central cell
3212,8,central cell
3180,8,central cell
3170,8,central cell
3250,8,central cell
3082,8,central cell
3210,8,central cell
3178,8,central cell
2906,8,central cell
3230,8,central cell
2942,8,central cell
3233,8,central cell
2977,8,central cell
3169,8,central cell
3041,8,central cell
3153,8,central cell
3121,8,central cell
2953,8,central cell
3241,8,central cell
2985,8,central cell
3049,8,central cell
2937,8,central cell
2869,8,central cell
3149,8,central cell
2861,8,central cell
3181,8,central cell
3053,8,central cell
3011,8,central cell
2859,8,central cell
3179,8,central cell
3051,8,central cell
2935,8,central cell
3023,8,central cell
